id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
0,0.5,1.0,0.2,0.5,6.249999999999999,4.0,0.5,"[4.0, 1.0, 24.999999999999996, 4.0]",0.05,400.0,1.4128254652023315,31.928133010864258,23.90964126586914,397.937744140625,True
1,0.5,1.0,0.2,0.5,6.249999999999999,4.0,0.7,"[4.0, 1.0, 24.999999999999996, 4.0]",0.06999999999999999,400.0,1.6063330173492432,35.568233489990234,23.973934173583984,397.7662658691406,True
2,0.5,1.0,0.2,0.5,6.249999999999999,4.0,0.9,"[4.0, 1.0, 24.999999999999996, 4.0]",0.09000000000000001,400.0,1.763426661491394,38.38218307495117,24.239604949951172,397.62347412109375,True
3,0.5,1.0,0.2,0.5,6.249999999999999,4.0,1.1,"[4.0, 1.0, 24.999999999999996, 4.0]",0.11000000000000001,400.0,1.894236445426941,40.694847106933594,24.46004867553711,397.50518798828125,True
4,0.5,1.0,0.2,0.5,6.249999999999999,4.0,1.3,"[4.0, 1.0, 24.999999999999996, 4.0]",0.13,400.0,2.0044705867767334,42.553955078125,24.644229888916016,397.4073791503906,True
5,0.5,1.0,0.2,0.5,6.249999999999999,4.0,1.5,"[4.0, 1.0, 24.999999999999996, 4.0]",0.15000000000000002,400.0,2.0975289344787598,44.138404846191406,24.799718856811523,397.324462890625,True
6,0.5,1.0,0.2,0.5,6.249999999999999,4.0,1.8,"[4.0, 1.0, 24.999999999999996, 4.0]",0.18000000000000002,115.12000274658203,2.2159485816955566,46.22690963745117,24.987831115722656,112.33786010742188,False
7,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,0.5,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.05,400.0,1.4939812421798706,33.818931579589844,24.35822868347168,397.84588623046875,True
8,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,0.7,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.06999999999999999,400.0,1.6752842664718628,37.49839782714844,24.237882614135742,397.68524169921875,True
9,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,0.9,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.09000000000000001,400.0,1.8250751495361328,40.20616912841797,24.476411819458008,397.5490417480469,True
10,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,1.1,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.11000000000000001,400.0,1.9500062465667725,42.19935607910156,24.698440551757812,397.4400329589844,True
11,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,1.3,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.13,400.0,2.061718702316284,43.93911361694336,24.881832122802734,397.3439025878906,True
12,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,1.5,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.15000000000000002,115.12000274658203,2.155748128890991,45.50886154174805,25.03433609008789,112.38092041015625,False
13,0.5,1.0,0.2,0.7,6.249999999999999,2.0408163265306127,1.8,"[4.0, 1.0, 24.999999999999996, 2.0408163265306127]",0.18000000000000002,45.189998626708984,2.2737841606140137,47.42551803588867,25.216901779174805,42.34809112548828,False
14,0.5,1.0,0.2,1.0,6.249999999999999,1.0,0.5,"[4.0, 1.0, 24.999999999999996, 1.0]",0.05,400.0,1.542274832725525,35.01076889038086,24.655132293701172,397.7889709472656,True
